Gender_x,Age,Profession,Work_Experience,Family_Size,Spending_Score,Cost_of_the_Product,Prior_purchases,Discount_offered,Ever_Married,Graduated,Var_1
Female,50,Doctor,1.0,3.0,Low,263,3,57,Yes,Yes,Cat_6
Female,84,Artist,1.0,2.0,High,181,2,28,Yes,Yes,Cat_6
Male,43,Artist,12.0,5.0,Low,163,2,12,No,Yes,Cat_6
Female,63,Entertainment,0.0,4.0,Average,260,2,23,Yes,Yes,Cat_6
Male,37,Entertainment,9.0,1.0,Low,159,5,22,No,Yes,Cat_6
Male,31,Engineer,5.0,3.0,Average,227,3,54,Yes,No,Cat_3
Male,26,Entertainment,1.0,3.0,Low,104,5,41,No,No,Cat_3
Male,41,Entertainment,2.0,3.0,Average,188,4,49,Yes,Yes,Cat_4
Female,62,Artist,1.0,2.0,High,202,3,41,Yes,Yes,Cat_6
Male,45,Executive,0.0,4.0,High,213,6,17,Yes,Yes,Cat_6
Female,28,Engineer,6.0,3.0,Low,211,2,45,Yes,No,Cat_6
Female,89,Lawyer,0.0,2.0,High,232,3,61,Yes,Yes,Cat_6
Male,20,Healthcare,0.0,4.0,Low,143,2,39,No,No,Cat_6
Female,40,Engineer,9.0,2.0,Low,196,3,24,No,Yes,Cat_4
Male,23,Healthcare,0.0,4.0,Low,150,6,42,No,No,Cat_6
Male,41,Artist,4.0,1.0,Low,222,3,21,No,Yes,Cat_6
Male,78,Lawyer,1.0,2.0,High,203,3,3,Yes,No,Cat_6
Female,43,Engineer,0.0,1.0,Low,178,3,60,No,Yes,Cat_3
Female,57,Artist,0.0,4.0,High,272,2,21,Yes,Yes,Cat_6
Male,55,Executive,1.0,3.0,High,182,3,58,Yes,Yes,Cat_6
Female,27,Engineer,11.0,1.0,Low,205,3,11,No,Yes,Cat_6
Male,51,Executive,1.0,4.0,High,171,3,11,Yes,Yes,Cat_6
Male,35,Executive,9.0,4.0,High,172,2,48,Yes,Yes,Cat_6
Male,49,Entertainment,1.0,3.0,Average,210,2,30,Yes,Yes,Cat_1
Female,33,Healthcare,7.0,2.0,Low,264,3,10,No,Yes,Cat_6
Female,60,Artist,1.0,2.0,Average,181,4,46,Yes,Yes,Cat_6
Male,52,Artist,8.0,3.0,Low,240,3,54,Yes,Yes,Cat_6
Female,42,Artist,1.0,2.0,Low,140,4,46,No,Yes,Cat_5
Female,28,Marketing,2.0,3.0,Low,283,5,35,No,Yes,Cat_6
Female,43,Artist,5.0,3.0,High,263,4,23,Yes,Yes,Cat_6
Male,25,Healthcare,0.0,4.0,Low,136,3,35,No,Yes,Cat_6
Female,51,Artist,0.0,2.0,Low,145,4,35,Yes,Yes,Cat_6
Male,42,Artist,1.0,3.0,Average,162,2,42,Yes,Yes,Cat_2
Male,20,Healthcare,0.0,5.0,Low,230,6,60,No,No,Cat_7
Male,80,Lawyer,0.0,1.0,Low,148,5,61,,No,Cat_6
Female,41,Artist,1.0,4.0,High,175,3,45,Yes,Yes,Cat_2
Female,71,Lawyer,0.0,2.0,Low,227,2,35,Yes,Yes,Cat_6
Female,42,Artist,0.0,2.0,Average,177,4,13,Yes,Yes,Cat_6
Male,56,Artist,1.0,2.0,Average,257,3,60,Yes,Yes,Cat_6
Female,41,Healthcare,6.0,2.0,Average,198,5,36,Yes,Yes,Cat_6
Male,72,Entertainment,7.0,2.0,Low,251,3,59,Yes,Yes,Cat_6
Female,30,Entertainment,1.0,4.0,Low,158,3,47,No,No,Cat_6
Female,25,Entertainment,0.0,6.0,Low,171,6,27,No,Yes,Cat_2
Male,33,Marketing,0.0,4.0,Low,260,2,2,No,Yes,Cat_2
Male,26,Artist,0.0,0.0,Low,263,3,42,No,Yes,Cat_4
Male,38,Executive,5.0,3.0,High,269,2,43,Yes,No,Cat_6
Male,60,Lawyer,9.0,2.0,Low,224,2,37,Yes,Yes,Cat_6
Female,79,Lawyer,1.0,3.0,High,118,5,50,Yes,No,Cat_6
Female,38,Marketing,9.0,4.0,Low,186,10,64,No,Yes,Cat_5
Male,56,Artist,1.0,1.0,Average,191,2,34,Yes,Yes,Cat_6
Male,73,Homemaker,2.0,1.0,Low,174,6,26,Yes,No,Cat_6
Female,22,Healthcare,0.0,7.0,Low,140,2,55,No,No,Cat_6
Male,42,Marketing,1.0,3.0,Low,193,2,48,Yes,No,Cat_6
Male,72,Lawyer,0.0,2.0,High,148,10,12,Yes,No,Cat_6
Female,33,Healthcare,0.0,3.0,Low,176,5,55,No,Yes,Cat_6
Male,53,Executive,1.0,4.0,Average,135,10,35,Yes,Yes,Cat_6
Female,25,Healthcare,1.0,5.0,Low,154,10,48,No,No,Cat_6
Male,46,Artist,0.0,3.0,Average,143,8,44,Yes,Yes,Cat_6
Male,18,Healthcare,0.0,3.0,Low,173,2,10,No,No,Cat_6
Female,60,Engineer,1.0,1.0,Low,262,3,38,No,Yes,Cat_6
Male,22,Doctor,2.0,4.0,Low,171,3,58,No,No,Cat_6
Male,22,Healthcare,9.0,5.0,Low,246,2,55,No,No,Cat_4
Male,18,Healthcare,3.0,5.0,Low,266,2,55,No,No,Cat_6
Male,39,Doctor,0.0,3.0,High,127,8,39,Yes,Yes,Cat_6
Male,19,Healthcare,7.0,5.0,Low,167,8,28,No,No,Cat_3
Female,30,Artist,7.0,1.0,Low,187,4,37,No,No,Cat_6
Male,23,Healthcare,4.0,5.0,Low,162,2,54,No,No,Cat_6
Male,23,Healthcare,1.0,7.0,Low,230,6,10,No,No,Cat_3
Female,48,Artist,4.0,1.0,Low,148,5,50,No,Yes,Cat_6
Male,39,Artist,9.0,1.0,Low,175,3,55,Yes,Yes,Cat_4
Female,56,Artist,0.0,1.0,Low,227,2,60,No,Yes,Cat_6
Male,63,Artist,5.0,2.0,Average,177,4,38,Yes,No,Cat_6
Female,71,Engineer,1.0,4.0,High,257,3,37,Yes,No,Cat_3
Female,70,Entertainment,1.0,2.0,High,198,5,49,Yes,Yes,Cat_6
Male,84,Lawyer,1.0,1.0,Low,251,3,18,Yes,No,Cat_6
Male,39,Executive,0.0,6.0,High,158,3,16,Yes,Yes,Cat_6
Male,42,Artist,6.0,4.0,Low,171,6,9,Yes,Yes,Cat_3
Male,46,Artist,4.0,2.0,Low,260,2,38,Yes,Yes,Cat_6
Male,63,Executive,0.0,3.0,Average,263,3,25,Yes,No,Cat_6
Female,55,Artist,0.0,3.0,Low,269,2,47,Yes,No,Cat_6
Male,42,Engineer,1.0,2.0,Low,224,2,49,Yes,Yes,Cat_6
Female,58,Artist,0.0,2.0,Average,118,5,15,Yes,Yes,Cat_6
Female,88,Lawyer,1.0,1.0,Low,186,10,24,Yes,Yes,Cat_6
Male,43,Artist,5.0,2.0,Average,191,2,6,Yes,Yes,Cat_6
Male,73,Executive,1.0,3.0,High,174,6,44,Yes,Yes,Cat_6
Male,35,Entertainment,8.0,0.0,Average,140,2,55,Yes,Yes,Cat_2
Male,30,Healthcare,0.0,5.0,Low,193,2,37,No,No,Cat_4
Male,30,Doctor,11.0,2.0,Average,148,10,35,Yes,No,Cat_3
Male,46,Healthcare,1.0,3.0,High,176,5,29,Yes,Yes,Cat_6
Female,43,Artist,2.0,2.0,Average,135,10,57,Yes,Yes,Cat_6
Female,36,Entertainment,1.0,3.0,High,154,10,14,Yes,No,Cat_3
Male,63,Entertainment,1.0,1.0,Low,173,2,30,Yes,Yes,Cat_6
Male,35,Artist,7.0,2.0,Low,262,3,46,Yes,Yes,Cat_6
Female,31,Artist,9.0,2.0,Low,171,3,21,No,Yes,Cat_6
Female,45,Artist,0.0,4.0,Average,246,2,11,Yes,Yes,Cat_4
Male,26,Executive,2.0,2.0,Low,266,2,49,No,No,Cat_3
Male,37,Doctor,4.0,2.0,Average,127,8,12,Yes,No,Cat_6
Female,26,Doctor,1.0,2.0,Average,167,8,44,Yes,No,Cat_4
Male,37,Entertainment,0.0,5.0,Low,187,4,49,Yes,No,Cat_4
Female,53,Artist,1.0,3.0,Average,294,4,35,Yes,Yes,Cat_6
Female,55,Artist,1.0,1.0,Low,158,4,13,No,Yes,Cat_3
Male,42,Executive,9.0,6.0,High,135,5,55,Yes,Yes,Cat_7
Female,46,Artist,0.0,2.0,Average,238,3,28,Yes,Yes,Cat_6
Male,30,Healthcare,0.0,6.0,Low,213,3,63,Yes,Yes,Cat_6
Male,63,Artist,0.0,1.0,Low,237,2,21,No,Yes,Cat_6
Male,52,Entertainment,0.0,4.0,Low,257,3,47,Yes,Yes,Cat_4
Female,28,Doctor,12.0,2.0,Low,198,5,65,No,Yes,Cat_7
Female,20,Healthcare,0.0,5.0,Low,218,3,48,No,No,Cat_4
Male,60,Executive,4.0,3.0,High,236,4,65,Yes,Yes,Cat_6
Male,42,Healthcare,0.0,4.0,Average,100,3,17,Yes,Yes,Cat_4
Male,46,Doctor,1.0,6.0,Average,154,2,44,Yes,Yes,Cat_4
Male,37,Artist,1.0,2.0,Average,238,3,32,Yes,Yes,Cat_6
Female,42,Artist,8.0,1.0,Low,128,5,34,No,Yes,Cat_6
Female,46,Artist,1.0,4.0,Average,140,3,9,Yes,Yes,Cat_6
Male,49,Healthcare,0.0,7.0,Low,187,3,50,Yes,No,Cat_4
Female,89,Lawyer,0.0,2.0,High,256,3,15,Yes,No,Cat_6
Female,38,Entertainment,4.0,1.0,Low,270,4,18,Yes,No,Cat_6
Male,48,Artist,0.0,2.0,Average,202,2,45,Yes,Yes,Cat_6
Female,51,Artist,3.0,4.0,Low,256,3,62,Yes,Yes,Cat_6
Male,73,Artist,1.0,2.0,High,135,2,37,Yes,Yes,Cat_2
Male,30,Healthcare,1.0,4.0,Low,184,4,8,No,Yes,Cat_6
Female,46,Artist,1.0,0.0,Low,169,4,23,Yes,Yes,Cat_6
Female,65,Lawyer,1.0,2.0,Average,178,4,48,Yes,Yes,Cat_6
Female,36,Artist,0.0,1.0,Low,265,3,41,No,No,Cat_5
Female,25,Healthcare,0.0,3.0,Low,217,2,22,No,Yes,Cat_5
Male,43,Executive,0.0,4.0,High,218,2,9,Yes,Yes,Cat_6
Female,33,Homemaker,0.0,2.0,High,135,2,7,Yes,Yes,Cat_3
Male,30,Entertainment,14.0,1.0,Low,150,2,61,No,Yes,Cat_6
Female,21,Healthcare,0.0,4.0,Low,200,3,49,,No,Cat_6
Female,25,Engineer,8.0,2.0,Low,136,3,12,No,Yes,Cat_6
Male,49,Artist,4.0,4.0,Average,119,2,32,Yes,Yes,Cat_6
Female,31,Artist,9.0,1.0,Low,212,6,5,No,Yes,Cat_6
Male,33,Healthcare,1.0,3.0,Low,272,2,57,,No,Cat_6
Female,27,Doctor,14.0,8.0,Low,166,3,5,No,Yes,Cat_6
Female,33,Entertainment,11.0,3.0,Low,176,3,1,No,Yes,Cat_6
Male,35,Artist,1.0,2.0,Average,280,4,17,Yes,Yes,Cat_6
Male,19,Healthcare,1.0,5.0,Low,169,2,19,No,No,Cat_3
Female,25,Marketing,0.0,5.0,High,231,6,64,Yes,No,Cat_4
Male,57,Executive,4.0,4.0,High,140,2,5,Yes,No,Cat_6
Male,45,Executive,1.0,4.0,Average,183,3,44,Yes,No,Cat_6
Female,47,Homemaker,3.0,3.0,High,157,3,28,Yes,No,Cat_6
Male,20,Marketing,1.0,3.0,Average,210,4,28,Yes,,Cat_3
Female,33,Doctor,9.0,2.0,Low,227,4,20,No,Yes,Cat_6
Male,45,Artist,3.0,1.0,Low,250,2,45,Yes,Yes,Cat_6
Male,27,Healthcare,1.0,3.0,Low,171,5,61,No,No,Cat_6
Female,38,Engineer,0.0,1.0,Low,136,2,17,Yes,Yes,Cat_5
Female,38,Engineer,0.0,3.0,Low,258,3,58,No,No,Cat_4
Male,87,Lawyer,1.0,1.0,Low,271,5,14,No,No,Cat_6
Male,30,Doctor,0.0,3.0,Low,197,3,29,No,Yes,Cat_6
Male,57,Entertainment,0.0,7.0,Average,217,3,27,Yes,Yes,Cat_5
Female,63,Artist,9.0,2.0,Low,247,3,9,Yes,Yes,Cat_6
Male,50,Doctor,9.0,3.0,Low,192,4,46,No,No,Cat_6
Male,68,Executive,0.0,2.0,High,254,3,6,Yes,Yes,Cat_6
Female,33,Entertainment,1.0,2.0,Low,226,3,65,Yes,No,Cat_3
Female,37,Doctor,0.0,2.0,Low,197,2,48,Yes,Yes,Cat_6
Female,25,Engineer,0.0,6.0,Low,203,4,12,No,No,Cat_6
Female,29,Engineer,0.0,5.0,Low,196,3,16,No,No,Cat_4
Female,32,Healthcare,3.0,2.0,Low,180,3,33,No,Yes,Cat_6
Female,68,Engineer,0.0,1.0,Low,219,3,54,Yes,No,Cat_4
Male,86,Lawyer,1.0,2.0,High,266,2,15,Yes,Yes,Cat_6
Male,49,Artist,0.0,3.0,Low,144,2,20,Yes,Yes,Cat_6
Female,32,Homemaker,12.0,2.0,High,197,2,12,Yes,Yes,Cat_6
Male,28,Healthcare,1.0,4.0,Low,258,3,4,Yes,Yes,Cat_7
Female,26,Homemaker,9.0,0.0,Low,187,3,63,No,Yes,Cat_6
Male,83,Lawyer,1.0,1.0,Low,184,3,9,Yes,No,Cat_6
Female,63,Artist,14.0,1.0,Low,142,2,63,No,Yes,Cat_6
Male,65,Lawyer,0.0,2.0,High,283,5,50,Yes,No,Cat_6
Female,38,Artist,1.0,3.0,Average,221,2,13,Yes,Yes,Cat_4
Male,61,Entertainment,1.0,1.0,Low,233,5,44,Yes,Yes,Cat_6
Female,46,Artist,8.0,2.0,Low,129,5,58,Yes,Yes,Cat_6
Female,30,Doctor,1.0,2.0,Low,154,2,43,No,Yes,Cat_6
Male,46,Entertainment,0.0,5.0,Average,158,3,63,Yes,,Cat_4
Male,53,Entertainment,1.0,0.0,Low,236,6,9,No,No,Cat_6
Male,22,Healthcare,0.0,5.0,Low,257,3,52,No,No,Cat_7
Female,42,Artist,1.0,2.0,Average,160,3,50,Yes,Yes,Cat_6
Female,57,Doctor,0.0,7.0,Low,255,4,62,Yes,Yes,Cat_7
Female,49,Engineer,6.0,2.0,Low,210,2,22,Yes,No,Cat_6
Female,25,Artist,1.0,3.0,Low,169,4,37,No,No,Cat_6
Female,31,Engineer,0.0,1.0,Low,275,2,1,No,Yes,Cat_4
Male,25,Healthcare,1.0,5.0,Low,185,3,47,No,No,Cat_4
Male,33,Healthcare,0.0,5.0,Low,213,2,54,No,Yes,Cat_6
Male,29,Healthcare,9.0,6.0,Low,179,3,57,No,Yes,Cat_6
Male,38,Artist,0.0,4.0,Average,110,3,7,Yes,Yes,Cat_6
Male,62,Executive,8.0,2.0,High,216,3,41,Yes,Yes,Cat_6
Male,59,Engineer,0.0,1.0,Low,267,3,37,Yes,No,Cat_6
Female,27,Entertainment,3.0,5.0,Low,214,2,1,Yes,Yes,Cat_6
Female,51,Artist,0.0,3.0,Average,196,3,38,Yes,Yes,Cat_2
Male,59,Entertainment,0.0,3.0,Low,192,2,8,No,No,Cat_6
Female,78,Homemaker,0.0,1.0,Low,191,3,4,Yes,No,Cat_6
Female,37,Artist,12.0,1.0,Low,222,3,57,No,Yes,Cat_4
Male,37,Executive,9.0,4.0,High,141,3,10,Yes,Yes,Cat_6
Male,30,Artist,0.0,2.0,Average,242,3,1,Yes,No,Cat_5
Male,43,Entertainment,0.0,2.0,Average,212,2,13,Yes,Yes,Cat_6
Male,40,Artist,5.0,2.0,Low,133,3,21,No,Yes,Cat_6
Female,40,Artist,6.0,2.0,Low,254,5,35,No,Yes,Cat_6
Female,30,Engineer,1.0,5.0,Low,190,3,2,No,No,Cat_3
Female,40,Artist,9.0,2.0,Average,185,3,25,Yes,Yes,Cat_6
Female,62,Artist,2.0,3.0,High,191,3,54,Yes,Yes,Cat_6
Male,22,Healthcare,0.0,8.0,Low,158,2,15,No,No,Cat_6
Female,66,Lawyer,1.0,2.0,High,171,3,49,Yes,Yes,Cat_6
Male,67,Artist,10.0,1.0,Low,160,2,32,Yes,Yes,Cat_6
Male,50,Artist,1.0,3.0,Average,235,3,21,Yes,Yes,Cat_6
Male,27,Healthcare,5.0,3.0,Low,247,3,55,No,No,Cat_6
Male,28,Doctor,1.0,3.0,Low,152,3,65,No,Yes,Cat_6
Male,45,Doctor,1.0,2.0,Average,138,3,15,Yes,Yes,Cat_6
Male,59,Artist,1.0,2.0,Average,270,2,43,Yes,Yes,Cat_4
Male,19,Healthcare,1.0,2.0,Low,193,4,8,No,No,Cat_6
Male,62,Artist,1.0,4.0,Low,252,2,1,Yes,Yes,Cat_4
Female,72,Lawyer,0.0,0.0,Low,203,2,51,No,Yes,Cat_6
Male,19,Healthcare,0.0,4.0,Low,141,3,64,No,No,Cat_6
Female,28,Entertainment,6.0,3.0,Low,197,3,20,No,Yes,Cat_4
Male,25,Doctor,1.0,4.0,Low,142,3,54,No,No,Cat_6
Male,36,Entertainment,0.0,2.0,Low,161,3,25,Yes,Yes,Cat_4
Female,33,Healthcare,2.0,2.0,Low,139,3,23,No,Yes,Cat_6
Male,59,Entertainment,0.0,4.0,Average,186,2,17,Yes,No,Cat_6
Male,20,Healthcare,4.0,4.0,Low,190,3,52,No,No,Cat_4
Male,23,Healthcare,0.0,5.0,Low,186,4,23,No,No,Cat_4
Female,46,Artist,10.0,2.0,Low,111,6,8,No,Yes,Cat_6
Female,74,Lawyer,1.0,2.0,High,159,3,62,Yes,No,Cat_6
Male,26,Doctor,8.0,1.0,Low,205,3,44,No,No,Cat_3
Male,76,Artist,0.0,1.0,Low,134,3,12,Yes,Yes,Cat_6
Male,41,Artist,1.0,3.0,Low,191,3,4,No,Yes,Cat_6
Female,32,Marketing,0.0,0.0,Low,141,2,28,No,No,Cat_6
Female,30,Artist,0.0,2.0,Average,225,2,31,Yes,No,Cat_1
Male,70,Lawyer,1.0,2.0,Low,171,3,24,Yes,No,Cat_6
Male,50,Artist,1.0,3.0,Low,286,5,37,Yes,Yes,Cat_6
Male,39,Executive,0.0,4.0,High,255,5,1,Yes,No,Cat_6
Female,42,Artist,0.0,2.0,Low,113,6,25,Yes,Yes,Cat_6
Female,40,Artist,1.0,3.0,Low,201,3,65,Yes,Yes,Cat_6
Female,39,Homemaker,8.0,1.0,Low,184,3,49,Yes,Yes,Cat_6
Female,88,Lawyer,1.0,2.0,High,199,2,18,Yes,Yes,Cat_6
Female,43,Artist,0.0,1.0,Low,255,2,29,No,Yes,Cat_6
Male,19,Healthcare,1.0,3.0,Low,269,4,60,No,No,Cat_3
Female,45,Artist,6.0,1.0,Low,260,2,23,Yes,No,Cat_6
Female,39,Doctor,2.0,1.0,Low,256,2,10,Yes,,Cat_3
Female,35,Healthcare,0.0,1.0,Low,140,4,27,No,Yes,Cat_2
Male,53,Doctor,0.0,3.0,Low,165,4,7,Yes,Yes,Cat_6
Male,21,Healthcare,1.0,4.0,Low,144,3,1,No,No,Cat_6
Female,22,Entertainment,0.0,3.0,Low,240,3,53,No,,Cat_3
Male,38,Artist,1.0,3.0,Average,183,4,15,Yes,No,Cat_6
Male,36,Executive,9.0,3.0,Average,201,2,4,Yes,Yes,Cat_6
Male,63,Artist,0.0,4.0,Average,216,2,6,Yes,Yes,Cat_6
Male,31,Artist,1.0,2.0,Low,218,3,25,No,Yes,Cat_6
Male,25,Entertainment,3.0,1.0,Low,147,3,2,No,No,Cat_4
Male,52,Entertainment,1.0,2.0,Low,264,2,1,Yes,Yes,Cat_6
Male,19,Healthcare,1.0,4.0,Low,145,3,43,No,No,Cat_6
Female,35,Healthcare,0.0,1.0,Low,264,6,30,No,Yes,Cat_4
Female,30,Healthcare,0.0,4.0,Low,253,2,43,No,No,Cat_6
Female,59,Artist,0.0,5.0,Average,257,6,5,Yes,Yes,Cat_6
Female,25,Engineer,1.0,3.0,Low,202,3,59,No,No,Cat_6
Male,77,Lawyer,0.0,1.0,Low,245,4,12,Yes,Yes,Cat_6
Female,58,Doctor,1.0,2.0,Average,162,2,47,Yes,Yes,Cat_6
Female,38,Artist,6.0,4.0,Low,158,3,39,Yes,Yes,Cat_6
Male,29,Marketing,1.0,4.0,Low,182,3,40,Yes,No,Cat_4
Male,56,Artist,1.0,3.0,Average,218,3,4,Yes,Yes,Cat_6
Female,37,Entertainment,1.0,2.0,Low,201,3,41,No,Yes,Cat_2
Male,49,Doctor,1.0,4.0,Average,184,4,38,Yes,Yes,Cat_6
Female,41,Artist,2.0,1.0,Low,241,3,61,No,Yes,Cat_6
Male,55,Artist,1.0,3.0,Average,263,2,59,,Yes,Cat_6
Male,28,Doctor,0.0,1.0,Low,230,2,36,No,Yes,Cat_6
Female,35,Engineer,1.0,2.0,Low,240,3,28,No,No,Cat_4
Male,23,Healthcare,1.0,3.0,Low,233,3,43,No,No,Cat_1
Female,43,Artist,4.0,2.0,Average,237,2,22,Yes,Yes,Cat_3
Male,18,Healthcare,0.0,0.0,Low,144,3,59,No,No,Cat_3
Male,30,Doctor,1.0,4.0,Low,167,3,1,No,No,Cat_3
Male,20,Healthcare,1.0,3.0,Low,138,3,64,No,No,Cat_6
Male,84,Lawyer,0.0,2.0,High,165,2,51,Yes,No,Cat_6
Female,42,Engineer,0.0,1.0,Low,247,4,19,No,Yes,Cat_6
Male,28,Doctor,1.0,1.0,Low,152,6,7,No,Yes,Cat_6
Male,73,Lawyer,1.0,2.0,Average,199,4,24,Yes,Yes,Cat_6
Female,61,Lawyer,0.0,4.0,High,268,3,6,Yes,Yes,Cat_2
Female,42,Artist,9.0,1.0,Low,150,2,30,Yes,Yes,Cat_6
Male,49,Artist,2.0,2.0,Low,190,4,47,Yes,Yes,Cat_2
Female,84,Lawyer,0.0,2.0,High,153,4,36,Yes,Yes,Cat_6
Male,22,Healthcare,0.0,4.0,Low,185,3,27,No,No,Cat_6
Female,42,Engineer,6.0,1.0,Low,274,3,58,No,Yes,Cat_6
Female,31,Doctor,0.0,4.0,Low,258,2,11,No,No,Cat_3
Female,49,Artist,0.0,4.0,Average,110,3,54,Yes,Yes,Cat_6
Male,58,Artist,0.0,2.0,Average,240,6,21,Yes,Yes,Cat_6
Male,72,Artist,0.0,5.0,High,118,2,6,Yes,Yes,Cat_6
Male,45,Artist,6.0,4.0,Average,243,2,38,Yes,Yes,Cat_6
Male,49,Entertainment,0.0,5.0,Average,225,6,44,Yes,Yes,Cat_4
Female,20,Marketing,1.0,3.0,Low,238,4,49,No,No,Cat_4
Male,50,Artist,0.0,2.0,Low,166,2,45,Yes,Yes,Cat_6
Female,65,Lawyer,0.0,1.0,Low,180,3,29,No,No,Cat_6
Female,78,Lawyer,3.0,2.0,High,161,2,59,Yes,Yes,Cat_6
Female,45,Artist,1.0,3.0,Average,230,3,43,Yes,Yes,
Male,29,Healthcare,0.0,4.0,Low,167,3,51,Yes,No,Cat_4
Male,25,Healthcare,0.0,3.0,Low,186,3,16,No,No,Cat_4
Female,62,Doctor,0.0,5.0,Average,150,3,9,Yes,No,Cat_3
Female,28,Healthcare,0.0,1.0,Low,253,7,37,No,Yes,Cat_7
Female,49,Engineer,1.0,1.0,Low,239,2,59,Yes,No,Cat_7
Male,29,Artist,7.0,1.0,Low,294,4,57,No,Yes,Cat_6
Male,52,Artist,0.0,1.0,Low,158,4,45,No,Yes,Cat_6
Male,23,Healthcare,1.0,4.0,Low,135,5,20,No,No,Cat_4
Male,18,Healthcare,0.0,3.0,Low,238,3,28,No,No,Cat_6
Male,26,Artist,9.0,2.0,Average,213,3,17,Yes,Yes,Cat_6
Male,51,Executive,1.0,4.0,Low,165,2,18,Yes,No,Cat_4
Male,27,Executive,10.0,3.0,High,247,4,16,Yes,No,Cat_6
Male,20,Healthcare,1.0,3.0,Low,152,6,32,No,No,Cat_6
Male,62,Entertainment,0.0,1.0,Low,199,4,24,Yes,Yes,Cat_6
Female,63,Engineer,4.0,8.0,Average,268,3,41,Yes,No,Cat_4
Male,53,Doctor,0.0,1.0,Low,150,2,51,No,Yes,Cat_6
Male,28,Doctor,0.0,3.0,Low,190,4,24,No,No,Cat_3
Female,33,Engineer,1.0,3.0,Low,153,4,7,No,Yes,Cat_6
Female,45,Artist,0.0,2.0,Average,185,3,13,Yes,Yes,Cat_6
Male,61,Entertainment,1.0,2.0,Average,274,3,54,Yes,Yes,Cat_6
Female,62,Doctor,0.0,4.0,Average,258,2,5,Yes,,Cat_6
Male,42,Executive,9.0,3.0,Low,110,3,55,No,No,Cat_4
Male,52,Executive,1.0,4.0,High,240,6,26,Yes,Yes,Cat_6
Female,51,Artist,1.0,1.0,Low,118,2,2,Yes,Yes,Cat_6
Female,49,Entertainment,1.0,2.0,Low,243,2,14,No,No,Cat_4
Male,51,Engineer,0.0,2.0,Low,225,6,55,Yes,Yes,Cat_4
Male,29,Healthcare,0.0,4.0,Average,238,4,57,Yes,No,Cat_6
Male,53,Healthcare,0.0,2.0,High,127,5,5,Yes,Yes,Cat_6
Female,25,Healthcare,8.0,4.0,Low,180,3,6,No,Yes,Cat_5
Female,29,Engineer,5.0,2.0,Average,161,2,55,Yes,No,Cat_3
Male,60,Executive,0.0,5.0,Average,230,3,39,Yes,Yes,Cat_6
Female,25,Healthcare,5.0,3.0,Low,167,3,53,No,Yes,Cat_3
Male,55,Executive,8.0,2.0,High,186,3,25,Yes,Yes,Cat_6
Male,66,Executive,0.0,2.0,High,150,3,32,Yes,Yes,Cat_6
Male,27,Artist,8.0,6.0,Low,253,7,11,No,Yes,Cat_6
Male,51,Entertainment,1.0,4.0,Average,239,2,15,Yes,No,Cat_4
Male,35,Artist,0.0,2.0,Low,294,4,52,Yes,No,Cat_6
Male,65,Executive,1.0,2.0,Low,158,4,4,Yes,Yes,Cat_4
Female,20,Doctor,0.0,4.0,Low,135,5,26,No,No,Cat_6
Male,32,Marketing,0.0,5.0,Low,238,3,9,No,Yes,Cat_6
Female,79,Lawyer,0.0,2.0,High,265,3,3,Yes,Yes,Cat_6
Female,21,Doctor,0.0,3.0,Low,180,5,35,No,No,Cat_1
Male,36,Artist,0.0,1.0,Low,229,3,43,No,Yes,Cat_6
Female,70,Artist,1.0,2.0,Average,176,3,51,Yes,Yes,Cat_3
Female,28,Healthcare,1.0,3.0,Low,172,2,60,No,Yes,Cat_6
Male,25,Artist,7.0,1.0,Low,100,4,3,No,Yes,Cat_2
Female,36,Entertainment,8.0,2.0,Low,142,6,6,Yes,No,Cat_6
Male,20,Healthcare,0.0,4.0,Low,153,3,2,No,No,Cat_4
Male,49,Artist,0.0,2.0,Low,160,4,56,Yes,No,Cat_7
Female,28,Artist,0.0,2.0,Low,217,3,16,No,Yes,Cat_6
Female,49,Artist,6.0,6.0,Average,273,3,41,Yes,Yes,Cat_6
Male,18,Healthcare,2.0,4.0,Low,133,3,17,No,No,Cat_2
Female,46,Engineer,1.0,5.0,Average,155,4,54,Yes,No,Cat_6
Male,47,Lawyer,0.0,2.0,Low,184,4,2,Yes,No,Cat_6
Female,32,Marketing,0.0,1.0,Low,230,3,43,No,No,Cat_4
Male,47,Artist,0.0,2.0,Average,254,3,53,Yes,Yes,Cat_6
Female,49,Artist,0.0,4.0,Average,108,6,46,Yes,Yes,Cat_6
Male,28,Healthcare,0.0,9.0,Low,154,3,52,No,No,Cat_6
Male,58,Artist,1.0,3.0,Average,177,3,1,Yes,Yes,Cat_3
Female,21,Healthcare,9.0,4.0,Low,162,2,65,No,No,Cat_3
Male,53,Artist,1.0,2.0,Average,285,6,27,Yes,Yes,Cat_6
Female,67,Artist,1.0,3.0,Average,257,3,6,Yes,Yes,Cat_2
Male,26,Healthcare,1.0,5.0,Low,143,3,48,No,Yes,Cat_6
Female,26,Artist,0.0,3.0,Low,223,6,29,No,No,Cat_4
Male,40,Artist,0.0,2.0,Average,230,2,27,Yes,Yes,Cat_6
Male,25,Healthcare,0.0,3.0,Low,241,4,58,No,Yes,Cat_6
Male,41,Artist,1.0,1.0,Low,156,3,44,No,Yes,Cat_6
Male,45,Executive,5.0,3.0,High,232,4,27,Yes,Yes,Cat_7
