Laptop,Brand,Price,Profession,Normalized
Dell XPS 13 9315 Intel Core i5-1230U/16GB/512GB SSD/13.4'' (PT),Dell,2063.26,"Executive, Lawyer",0.26796624754296045
"HP OMEN 17-ck2001ns Intel Core i7-13700HX/32GB/1TB SSD/RTX 4080/17.3""",HP,2999.01,Artist,0.4026177724184177
"Lenovo Legion Pro 7 16IRX8 Intel Core i9-13900HX/32GB/1TB SSD/RTX 4070/16""",Lenovo,2689.01,Doctor,0.35800973318636664
"Acer ConceptD 3 CN316-73G-74FZ Intel Core i7-11800H/16GB/512GB SSD/GTX 1650/16""",Acer,1799.0,Healthcare,0.22994005255114816
"Lenovo V15 G3 IAP Intel Core i5-1235U/8GB/512GB SSD/15.6""",Lenovo,579.9,Executive,0.0545153408485888
"Acer Predator Helios 300 PH317-55 Intel Core i7-11800H/16GB/1TB SSD/RTX3060/17.3""",Acer,1799.0,"Entertainment, Homemaker",0.22994005255114816
"ASUS F515EA-BQ1625W Intel Core i3-1115G4/8GB/256GB/15.6""",Asus,408.0,Artist,0.02977946360991277
"Acer Chromebook 516 GE CBG516-1H-72EW Intel Core i7-1260P/16GB/256GB SSD/16""",Acer,1139.01,"Healthcare, Entertainment",0.13496953702611153
"Acer Nitro 5 AN515-45-R5ZJ AMD Ryzen 9 5900HX/16GB/1TB SSD/RTX 3080/15.6""",Acer,2399.01,"Healthcare, Homemaker",0.31627963196928666
"Dell Latitude 9510 Intel Core i5-10210U/8GB/256GB SSD/15""",Dell,1599.0,"Healthcare, Homemaker",0.2011606724014378
Lenovo IdeaPad IP 5 Chrome 16IAU7 Intel Core i5-1235U/8GB/512GB SSD/16'' (PT),Lenovo,1274.37,Healthcare,0.15444742151143548
"Lenovo Legion 5 15ACH6-276 Ryzen 7 5800H/16GB/1TB SSD/RTX3060/15.6"" (PT)",Lenovo,1553.68,Entertainment,0.19463926485951347
"MSI Creator Pro M16 B13VI-1023ES Intel Core i7-13700H/16GB/1TB SSD/RTX A1000/16""",MSI,1980.2,"Engineer, Entertainment",0.25601417096678575
"MSI Creator Pro M16 B13VI-1024XES Intel Core i7-13700H/16GB/1TB SSD/RTX A1000/16""",MSI,1772.43,Doctor,0.22611671189825916
"MSI Creator Pro M16 B13VK-1021ES Intel Core i7-13700H/32GB/1TB SSD/RTX 3000/16""",MSI,2707.44,"Executive, Engineer",0.3606617530671624
"MSI Katana 17 B13VFK-087ES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/17.3""",MSI,1999.0,Executive,0.2587194327008585
"ASUS ExpertBook B3 Flip B3402FEA-EC0765X Intel Core i5-1135G7/8GB/256GB SSD/14"" Táctil",Asus,839.0,"Artist, Healthcare",0.09179902783253854
"ASUS P1412CEA-EK1154X Intel Core i5-1135G7/16GB/512GB SSD/14""",Asus,650.13,"Executive, Homemaker",0.06462122018815958
"Microsoft Surface Pro 9 Grafito Intel Evo Core i7-1255U/16GB/512GB SSD/13"" Táctil",Microsoft,2189.0,"Entertainment, Engineer",0.2860598438430833
"Microsoft Surface Laptop Studio Intel Core i5-11300H/16GB/256GB SSD/14.4"" Táctil Platino",Microsoft,1699.01,"Lawyer, Healthcare",0.21555180144530048
"ASUS ExpertBook B1 B1502CBA-EJ0439 Intel Core i7-1255U/16GB/512GB SSD/15.6""",Asus,800.0,"Marketing, Artist",0.08618704870334504
"HP EliteBook 850 G4 i5-7300U/8GB/256GB SSD/15.6""",HP,675.0,Marketing,0.06819993610977607
"MSI Creator M16 A12UC-090XES Intel Core i7-12700H/16GB/1TB SSD/RTX 3050/16""",MSI,1499.0,Entertainment,0.18677098232658265
"HP 15S-EQ2051NS AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",HP,431.99,Artist,0.03323155025887052
"HP ProBook 455 G10 AMD Ryzen 7 7730U/16GB/512GB SSD/15.6""",HP,899.99,Doctor,0.10057529980919272
"ASUS E510MA-EJ1188W Intel Celeron N4020/8GB/256GB SSD/15.6""",Asus,329.99,"Engineer, Homemaker",0.018554066382518254
"Alurin Go Intel Pentium N4200/8GB/256GB SSD/14.1""",Alurin,399.0,"Marketing, Artist",0.028484391503175804
"HP ProBook 450 G9 Intel Core i7-1255U/16GB/1TB SSD/15.6""",HP,1312.0,"Entertainment, Executive",0.1598622618866035
HP Victus 16-d1012np Intel Core i7-12700H/8GB/512GB SSD/RTX 3050Ti/16.1'' (PT),HP,1329.51,Engineer,0.16238189661871064
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/8 GB/512GBSSD/15.6""",Lenovo,599.0,"Entertainment, Doctor",0.05726377165288614
Acer Extensa 15 EX215-54 Intel Core i5-1135G7/8GB/256GB SSD,Acer,524.99,Healthcare,0.04661396202848583
"MSI Modern 14 C12M-052ES Intel Core i7-1255U/16GB/1TB SSD/14""",MSI,1149.0,Marketing,0.13640706706458958
"Microsoft Surface Pro 6 Intel Core i5-8250U/8GB/256GB SSD/12.3"" Táctil",Microsoft,1349.0,"Homemaker, Entertainment",0.1651864472142999
"MSI Creator Z16 HX Studio B13VGTO-032ES Intel Core i9-13950HX/64GB/1TB SSD/RTX 4070/16"" Táctil",MSI,3289.01,"Homemaker, Healthcare",0.44434787363549766
"MSI Creator Z17 HX Studio A13VGT-041ES Intel Core i9-13950HX/64GB/2TB SSD/RTX 4070/17"" Táctil",MSI,3394.99,Executive,0.4595980671768291
"HP 250 G9 Intel Core i7-1255U/16GB/512GB SSD/15.6"" Gris",HP,786.14,Entertainment,0.08419263765897009
ASUS Vivobook Pro 15 M6500QE AMD Ryzen 7-5800H/16GB/1TB SSD/RTX 3050Ti/15.6'' (PT),Asus,1501.55,Marketing,0.18713791942349145
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/1TB SSD/16.2"" Gris Espacial",Apple,2999.01,"Engineer, Doctor",0.4026177724184177
"ASUS TUF GAMING A15 FA507NU-R77B46CS1 AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX4060/15.6"" (PT)",Asus,1499.96,"Lawyer, Artist",0.18690912335130128
"Dell Latitude E5440 Intel Core i5-4310U/8GB/128GB SSD/14""",Dell,379.0,"Engineer, Artist",0.02560645348820477
"Lenovo ThinkPad T470 Intel Core i5-7300U/16GB/256GB SSD/14""",Lenovo,575.0,Entertainment,0.0538102460349209
"Samsung Galaxy Book3 Pro Intel Evo Core i7-1360P/16GB/512GB SSD/14""",Samsung,1889.0,Marketing,0.2428907736185178
"Lenovo Yoga Slim 7 Pro 14ARH7 AMD Ryzen 5 6600HS/8GB/512GB SSD/14""",Lenovo,979.0,Marketing,0.11194459393733579
"LG Gram 17Z90R-E.AD75B Intel Evo Core i7-1360P/32GB/512GB SSD/RTX 3050/17""",LG,2399.0,Entertainment,0.31627819300027915
"HP EliteBook 840 G3 Intel Core i5-6200U/8GB/256GB SSD/14""",HP,210.14,Homemaker,0.0013080228278043312
"ASUS ROG Strix G16 G614JI-N4007 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4070/16""",Asus,2459.01,"Homemaker, Artist",0.32491344601419975
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8GB/512GB SSD/15.6"" Negro",Lenovo,509.0,Marketing,0.04431305058551649
"Dynabook Toshiba Satellite Pro C50-J-12X Intel Core i3-1115G4/8GB/256GB SSD/15.6""",Dynabook Toshiba,679.0,Healthcare,0.06877552371277028
"ASUS ROG Strix G17 G713PI-HX004 AMD Ryzen 9 7945HX/32GB/1TB SSD/RTX 4070/17.3""",Asus,2499.0,Lawyer,0.3306678830751343
"Gigabyte AORUS 15 9KF-E3ES383SD Intel Core i5-12500H/8GB/512GB SSD/RTX 4060/15.6""",Gigabyte,1086.85,"Doctor, Engineer",0.12746387468306708
"Medion Erazer Beast X40 Intel Core i9-13900HX/32GB/2TB SSD/RTX 4090/17""",Medion,3799.0,Executive,0.5177338540482515
"MSI Prestige 16 A12UD-218ES Intel Core i7-1280P/32GB/1TB SSD/RTX 3050Ti/16""",MSI,1929.01,"Healthcare, Homemaker",0.24864808861746737
Lenovo Legion 5 15ACH6-990 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3070/15.6'' (PT),Lenovo,1180.29,"Healthcare, Engineer",0.14090960108901174
"Alurin Flex Advance Intel Core i5-1155G7/8GB/256GB SSD/14"" + Windows 11 Home",Alurin,540.0,Engineer,0.04877385450872159
"HP OMEN 17-ck0013ns Intel Core i7-11800H/32GB/1TB SSD/RTX 3060/17.3""",HP,1699.01,Healthcare,0.21555180144530048
"Alurin Flex Intel Core i3-10110U/8GB/256GB SSD/nOS/14""",Alurin,429.9,"Doctor, Entertainment",0.032930805736306044
"Acer Aspire 3 A315-56-35X1 Intel Core i3-1005G1/8GB/256GB SSD/15.6""",Acer,385.2,"Lawyer, Entertainment",0.026498614272845788
"Acer TravelMate P2 TMP215-53-58LP Intel Core i5-1135G7/8GB/256GB SSD/15.6""",Acer,725.0,"Lawyer, Artist",0.07539478114720366
"Acer Extensa 15 EX215-54-50GK Intel Core i5-1135G7/8GB/512GB SSD/15.6""",Acer,589.0,Artist,0.05582480264540062
"ASUS ExpertBook B1 B1502CBA-EJ0439W Intel Core i7-1255U/16GB/512GB SSD/15.6""",Asus,884.99,"Entertainment, Engineer",0.09841684629796445
"HP Chromebook x360 11 G3 Education Edition Intel Celeron N4020/4GB/32GB/11.6"" Táctil",HP,282.57,"Artist, Lawyer",0.01173047534902193
"LG Gram 14Z90R-G.AD78B Intel Evo Core i7-1360P/32GB/1TB SSD/14""",LG,1999.0,"Executive, Healthcare",0.2587194327008585
"Acer Extensa 15 EX215-54-323B Intel Core i3-1115G4/8GB/256GB SSD/15.6""",Acer,430.99,Engineer,0.03308765335812197
"LG Gram 16Z90R-E.AD75B Intel Evo Core i7-1360P/32GB/512GB SSD/RTX 3050/16""",LG,2349.0,"Executive, Homemaker",0.30908334796285153
"Microsoft Surface Laptop 5 Platino Intel Evo Core i7-1255U/8GB/256GB SSD/15"" Táctil",Microsoft,1529.0,"Engineer, Healthcare",0.1910878893490392
"HP EliteBook 840 G5 Intel Core i7-8550U/16GB/512GB SSD/14""",HP,588.0,"Entertainment, Healthcare",0.05568090574465207
"Dynabook Toshiba Portégé X30L-K-108 Intel Core i7-1260P/16GB/512GB SSD/13.3""",Dynabook Toshiba,1805.01,"Artist, Entertainment",0.23080487292464696
"Lenovo ThinkPad T440 Intel Core i5-4300U/8GB/256GB SSD/14""",Lenovo,399.0,"Healthcare, Doctor",0.028484391503175804
"Dynabook Toshiba Tecra A50-J-1F8 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",Dynabook Toshiba,899.01,"Doctor, Executive",0.10043428084645914
"ASUS Zenbook 14 OLED UM3402YA-KM063W AMD Ryzen 5 5625U/16GB/512GB SSD/14""",Asus,856.0,Entertainment,0.09424527514526393
"Alurin Flex Intel Core i3-10110U/8GB/512GB SSD/14""",Alurin,529.0,"Marketing, Doctor",0.047190988600487524
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/1TB SSD/14.2"" Plata",Apple,2749.0,"Entertainment, Homemaker",0.3666421082622722
"HP EliteBook 850 G5 i5-8250U/8GB/256GB SSD/15.6""",HP,899.01,"Homemaker, Engineer",0.10043428084645914
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/512GB SSD/16.2"" Plata",Apple,2789.0,Homemaker,0.37239798429221427
"Thomson Neo White Intel Celeron N4020/4GB/64GB eMMC/14.1""",Thomson,201.05,"Lawyer, Engineer",0.0
"ASUS VivoBook F515EA-BQ3063 Intel Core i5-1135G7/8GB/512GB SSD/15.6""",Asus,505.01,"Engineer, Healthcare",0.04373890195152976
"Alurin Flex Advance AMD Ryzen 5 5500U/16GB/500GB SSD/15.6""",Alurin,499.0,Executive,0.04287408157803097
"ASUS VivoBook 15 F1500EA-EJ3100 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",Asus,355.0,"Executive, Entertainment",0.02215292787023953
"ASUS Zenbook 14 OLED UM3402YA-KM094W AMD Ryzen 7 5825U/16GB/512GB SSD/14""",Asus,1199.0,"Executive, Marketing",0.14360191210201714
"Acer ConceptD 3 Pro CN316-73P-79PD Intel Core i7-11800H/16GB/1TB SSD/T1200/16""",Acer,1899.0,Artist,0.24432974262600332
"Lenovo V15 G2 ITL Intel Core i7-1165G7/16GB/512GB SSD/15.6""",Lenovo,969.0,Homemaker,0.11050562492985026
"Lenovo ThinkPad T15p Gen 2 Intel Core i7-11800H/16GB/512GB SSD/GTX 1650/15.6""",Lenovo,2039.0,Marketing,0.26447530873080055
"ASUS ExpertBook P1512CEA-EJ0084X Intel Core i7-1165G7/16GB/512GB SSD/15.6""",Asus,860.0,Healthcare,0.09482086274825813
"Lenovo ThinkPad L14 Gen 2 Intel Core i5-1145G7/16 GB/256GB SSD/14""",Lenovo,869.0,"Doctor, Executive",0.0961159348549951
"Acer Predator Helios 300 PH317-55-77GT Intel Core i7-11800H/32GB/1TB SSD/RTX3070/17.3""",Acer,1417.19,"Entertainment, Marketing",0.17499877687634366
"MSI Modern 14 C5M-023XES AMD Ryzen 5 5625U/8GB/512GB SSD/14""",MSI,659.44,"Homemaker, Engineer",0.0659609003341286
"HP 15S-EQ1134NS AMD 3020e/8GB/256GB SSD/15.6""",HP,301.01,"Marketing, Artist",0.014383934198825223
"HP Pavilion Aero 13-be1006ns AMD Ryzen 7 5825U/16GB/512GB SSD/13.3""",HP,663.69,"Artist, Marketing",0.06657246216230996
"Dynabook Toshiba Tecra A50-K-14S Intel Core i7-1260P/16GB/512GB SSD/15.6""",Dynabook Toshiba,1637.0,Marketing,0.20662875462988278
"Apple MacBook Pro Apple M2 Max/32GB/1TB SSD/14.2"" Plata",Apple,3399.0,"Entertainment, Artist",0.4601750937488308
"ASUS ExpertBook B1 B1402CBA-EB0862 Intel Core i7-1255U/16GB/512GB SSD/14""",Asus,800.0,Entertainment,0.08618704870334504
"Apple Macbook Pro Intel Core i7/16GB/512GB SSD/Radeon Pro 5300M/16"" Gris Espacial",Apple,1093.69,Marketing,0.12844812948418718
"Lenovo V15 IGL Intel Celeron N4020/4GB/128GB SSD/15.6""",Lenovo,279.0,"Artist, Lawyer",0.011216763413349602
ASUS TUF Dash F15 FX517ZE Intel Core i7-12650H/16GB/512GB SSD/RTX 3050Ti/15.6'' (PT),Asus,1481.63,Artist,0.18427149316058034
"Dell Latitude 3520 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",Dell,879.0,"Marketing, Doctor",0.09755490386248061
"LG Ultra 16U70Q AMD Ryzen 5 5625U/8GB/512GB SSD/16""",LG,969.0,Entertainment,0.11050562492985026
"Lenovo Yoga Slim 7 Pro 14IAP7 Intel Evo Core i5-1240P/8GB/512GB SSD/14""",Lenovo,979.0,Doctor,0.11194459393733579
"MSI Katana GF66 11UC-045XES Intel Core i7-11800H/16 GB/1TB SSD/RTX3050/15.6""",MSI,1199.0,"Lawyer, Entertainment",0.14360191210201714
"Medion Erazer Beast X40 Intel Core i9-13900HX/32GB/1TB SSD/RTX 4080/17""",Medion,3199.01,"Lawyer, Entertainment",0.431397152568128
"Medion Erazer Major X10 Intel Core i7-12700H/16GB/1TB SSD/Intel Arc A730M/16""",Medion,1699.0,Executive,0.215550362476293
"Razer Blade 17 FullHD 360Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/17.3""",Razer,3500.0,"Doctor, Marketing",0.4747086807244345
"ASUS ROG Zephyrus G14 2023 GA402XY-NC019W AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4090/14""",Asus,4599.0,Homemaker,0.6328513746470928
"Apple Macbook Air 2023 Apple M2/8GB/512GB SSD/GPU Deca Core/15.3"" Blanco Estrella",Apple,1829.0,"Marketing, Healthcare",0.2342569595736047
"Apple Macbook Air 2023 Apple M2/8GB/512GB SSD/GPU Deca Core/15.3"" Plata",Apple,1829.0,"Healthcare, Marketing",0.2342569595736047
"Microsoft Surface Laptop Studio Intel Core i5-11300H/16GB/512GB SSD/14.4"" Táctil Platino",Microsoft,1899.0,"Doctor, Artist",0.24432974262600332
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/32 GB/1TB SSD/RTX 3080Ti/15.6""",Razer,4099.0,Executive,0.560902924272817
"Razer Blade 17 4K 144Hz Intel Core i9-12900H/32GB/1TB SSD/RTX 3070Ti/17.3""",Razer,4499.99,"Artist, Engineer",0.6186041425039787
"Razer Blade 17 QHD 240Hz Intel Core i9-12900H/16GB/1TB SSD/RTX 3070Ti/17.3""",Razer,3899.99,Marketing,0.5322660020548476
"Samsung Galaxy Book3 Ultra Intel Evo Core i7-13700H/16GB/1TB SSD/RTX 4050/16""",Samsung,2999.01,Entertainment,0.4026177724184177
"Dell Latitude E7470  Intel Core i5-6200U/16GB/256GB SSD/14""",Dell,499.0,"Entertainment, Engineer",0.04287408157803097
"Razer Blade 14 165Hz AMD Ryzen 9 6900HX/16GB/1TB SSD/RTX 3070Ti/14""",Razer,2899.99,"Healthcare, Engineer",0.388369101306296
"Lenovo IdeaPad Flex 5 13ITL6 Chromebook 13ITL6 Intel Core i3-1115G4/8GB/256GB SSD/13.3"" Táctil",Lenovo,699.0,Homemaker,0.0716534617277413
"ASUS VivoBook 15 F1502ZA-EJ1112W Intel Core i7-1255U/16GB/512GB SSD/15.6""",Asus,755.0,Engineer,0.0797116881696602
"ASUS ExpertBook B1 B1500CEAE-EJ3404W Intel Core i5-1135G7/8GB/1TB SSD/15.6""",Asus,789.0,"Marketing, Executive",0.08460418279511096
"Lenovo 300e Intel Celeron N4120/4GB/128GB SSD/11.6"" Táctil",Lenovo,451.0,"Engineer, Homemaker",0.03596703034210049
"HP 250 G9 Intel Core i5-1235U/8GB/512GB SSD/15.6""",HP,569.99,"Doctor, Artist",0.05308932256217066
"ASUS VivoBook 14 F1402ZA-EK645 Intel Core i7-1255U/16GB/512GB SSD/14""",Asus,789.0,"Entertainment, Doctor",0.08460418279511096
"ASUS TUF Gaming F15 TUF507ZC4-HN040 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/15.6""",Asus,909.99,Homemaker,0.10201426881667823
"Denver Electronics NBD-14105SSDES Intel Celeron N4020/4GB/64GB+256GB SSD/14""",Denver,329.95,"Doctor, Healthcare",0.018548310506488308
"HP 15S-FQ5044NS Intel Core i7-1255U/8GB/512GB SSD/15.6""",HP,730.01,"Marketing, Doctor",0.0761157046199539
"Microsoft Surface Pro 9 Platino Intel Evo Core i7-1255U/16GB/1TB SSD/13"" Táctil",Microsoft,2529.0,"Executive, Homemaker",0.33498479009759086
"ASUS ROG FLOW Z13  GZ301VU-93D45PB1 Intel Core i9-13900H/16GB/1TB SSD/RTX4050/13.4"" Tátil (PT)",Asus,2420.65,"Artist, Homemaker",0.3193935609014853
"Samsung Galaxy Book3 Ultra Intel Evo Core i9-13900H/32GB/1TB SSD/RTX 4070/16""",Samsung,3699.01,Entertainment,0.5033456029424038
"Lenovo ThinkPad L13 Gen 3 Intel Core i7-1255U/16GB/512GB SSD/13.3""",Lenovo,1333.57,Executive,0.16296611803574973
"HP 15S-FQ4073NS Intel Core i5-1155G7/8GB/1TB SSD/15.6""",HP,749.0,Entertainment,0.0788483067651689
"Dynabook Toshiba Satellite Pro C50-G-10E Intel Core i5-10210U/8GB/512GB SSD/15.6""",Dynabook Toshiba,739.0,"Entertainment, Executive",0.07740933775768338
"HP ProBook 450 G9 Intel Core i5-1235U/16GB/512GB SSD/15.6""",HP,1041.0,"Entertainment, Lawyer",0.12086620178374599
"Lenovo ThinkPad T490s Intel Core i5-8265U/8GB/256GB SSD/14""",Lenovo,799.0,Artist,0.08604315180259649
"LG Gram 15Z90R-G.AA75B Intel Evo Core i7-1360P/16GB/512GB SSD/15""",LG,1699.0,Entertainment,0.215550362476293
"ASUS VivoBook 15 F1500EA-EJ3107 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",Asus,454.23,Executive,0.03643181733151831
"Microsoft Surface Pro 7+ Intel Core i5-1135G7/8GB/256GB SSD/12.3"" Táctil Platino",Microsoft,1143.16,"Entertainment, Doctor",0.13556670916421804
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/32GB/1TB SSD/14.2"" Gris Espacial",Apple,3279.0,Homemaker,0.44290746565900463
"ASUS VivoBook 15 F1500EA-EJ3167W Intel Core i5-1135G7/8GB/512GB SSD/15.6""",Asus,502.0,"Executive, Artist",0.04330577228027663
"HP 15S-FQ2161NS Intel Core i3-1115G4/8GB/256GB SSD/15.6""",HP,416.87,Lawyer,0.03105582911955242
"HP Chromebook 11 G9 Intel Celeron N4500/4GB/32GB/11.6""",HP,230.14,"Lawyer, Healthcare",0.004185960842775365
"Acer Extensa 15 EX215-22 AMD Ryzen 5 3500U/8GB/512GB SSD/15.6""",Acer,379.01,Engineer,0.025607892457212254
"Microsoft Surface Laptop Studio Intel Core i7-11370H/16GB/512GB SSD/RTX 3050Ti/14.4"" Táctil Platino",Microsoft,2199.01,Executive,0.28750025181957634
"Alurin Flex Advance Intel Core i5-1155G7/8GB/256GB/15.6"" + Windows 11 Home",Alurin,549.0,"Marketing, Artist",0.05006892661545855
"Medion Erazer Beast X30 Intel Core i7-12700H/32GB/1TB SSD/RTX 3070 Ti/17.3""",Medion,2599.0,Healthcare,0.34505757314998947
"Acer Aspire Vero Green Intel Core i7-1195G7/8GB/512GB SSD/15.6""+ Ratón Inalámbrico 1200 DPI Gris + Funda Protectora",Acer,1249.01,Artist,0.15079819610845221
"MSI Modern 14 C12M-078XES Intel Core i5-1235U/8GB/512GB SSD/14""",MSI,799.0,Engineer,0.08604315180259649
"Thomson Neo Intel Core i5-8259U/8GB/512GB SSD/15.6""",Thomson,399.0,"Homemaker, Marketing",0.028484391503175804
"Alurin Flex Advance Intel Core i5-1155G7/16GB/500GB SSD/15.6""",Alurin,539.01,"Homemaker, Executive",0.04863139657698052
"Lenovo ThinkBook 15 G2 ITL Intel Core i7-1165G7/16GB/512GB SSD/15.6"" Gris",Lenovo,1199.0,"Entertainment, Engineer",0.14360191210201714
"ASUS F515EA-EJ3048W Intel Core i5-1135G7/8GB/512GB SSD/15.6""",Asus,609.01,"Entertainment, Engineer",0.05870417962937914
"ASUS VivoBook F1500EA-EJ2535W Intel Core i3-1115G4/8GB/512GB SSD/15.6""",Asus,449.9,Marketing,0.03580874375127708
"Acer Aspire 3 A315-56-566L Intel Core i5-1035G1/8GB/256GB SSD/15.6""",Acer,529.0,Lawyer,0.047190988600487524
"HP 255 G9 AMD Ryzen 3 5425U/8GB/512GB SSD/15.6""",HP,495.33,Homemaker,0.042345979952283785
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/32GB/512GB SSD/16.2"" Gris Espacial",Apple,3279.0,"Doctor, Lawyer",0.44290746565900463
"HP 250 G9 Intel Core i5-1235U/16 GB/512GB SSD/15.6""",HP,880.53,Doctor,0.09777506612062589
"Acer Extensa 15 EX215-54-57ZW Intel Core i5-1135G7/16GB/512GB SSD/15.6""",Acer,670.67,Homemaker,0.06757686252953483
"HP 14S-FQ0004NS AMD Athlon Silver 3050U/8GB/512GB SSD/14""",HP,424.0,"Entertainment, Artist",0.032081814021889594
"PcCom Revolt 3050 Intel Core i5-13500H/16GB/500GB SSD/RTX 3050/15.6"" + Windows 11 Home",PcCom,1329.9,"Executive, Artist",0.16243801641000258
"PcCom Revolt 3050 Intel Core i7-13700H/16GB/500GB/RTX 3050/15.6"" + Windows 11 Home",PcCom,1479.9,"Lawyer, Engineer",0.18402255152228533
PcCom Revolt 4050 Intel Core i5-13500H/16GB/500GB SSD/RTX 4050/15.6,PcCom,1349.9,Engineer,0.1653159544249736
PcCom Revolt 4050 Intel Core i5-13500H/16GB/500GB SSD/RTX 4050/15.6” + Windows 11 Home,PcCom,1479.9,"Entertainment, Doctor",0.18402255152228533
PcCom Revolt 4060 Intel Core i5-13500H/16GB/500GB SSD/RTX 4060/15.6” + Windows 11 Home,PcCom,1679.9,Entertainment,0.21280193167199565
PcCom Revolt 4060 Intel Core i7-13700H/16GB/500GB SSD/RTX 4060/15.6,PcCom,1699.9,"Healthcare, Engineer",0.2156798696869667
"Microsoft Surface Laptop 5 Negro Intel Evo Core i7-1255U/16GB/512GB SSD/15"" Táctil",Microsoft,2079.0,Homemaker,0.27023118476074265
"Alurin Flex Advance Intel Core i5-1155G7/16GB/500GB SSD/15.6"" + Windows 11 Home",Alurin,639.0,"Healthcare, Executive",0.06301964768282821
"ASUS VivoBook Flip 14 TP401MA-EC444WS Intel Celeron N4020/4GB/128GB EMMC/14"" Táctil",Asus,345.0,Marketing,0.02071395886275401
"Lenovo V15 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",Lenovo,719.0,Engineer,0.07453139974271235
"Samsung Galaxy Book3 360 Intel Evo Core i7-1360P/16GB/512GB SSD/15.6"" Táctil",Samsung,1854.36,"Executive, Marketing",0.23790618497658797
"ASUS VivoBook 15 F1500EA-EJ3149W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",Asus,628.04,"Marketing, Healthcare",0.061442537650624074
"HP ProBook 455 G10 AMD Ryzen 7 7730U/32GB/1TB SSD/15.6""",HP,999.0,Lawyer,0.11482253195230682
"LG Gram 17 16Z90P Intel Core i7-1165G7/16GB/512GB SSD/17""",LG,1859.01,"Executive, Marketing",0.23857530556506873
PcCom Revolt 4060 Intel Core i7-13700H/16GB/500GB SSD/RTX 4060/15.6 + Windows 11 Home,PcCom,1849.9,"Marketing, Homemaker",0.23726440479924946
"Medion Classmate Pro E14409 MD62389 Intel Core i3-1005G1/8GB/256GB SSD/14""",Medion,429.0,Doctor,0.03280129852563235
"LG Gram 14T90Q-G.AA78B Intel Evo Core i7-12800HE/16GB/1TB SSD/14"" Táctil",LG,1899.01,Homemaker,0.2443311815950108
"Lenovo Legion Pro 7 16IRX8H Intel Core i9-13900HX/32GB/1TB SSD/RTX 4090/16""",Lenovo,4199.0,Entertainment,0.5752926143476721
"Lenovo V15 G3 IAP Intel Core i3-1215U/8GB/512GB SSD/15.6""",Lenovo,465.0,Marketing,0.037981586952580214
PcCom Revolt 4060 Intel Core i5-13500H/16GB/500GB SSD/RTX 4060/15.6”,PcCom,1549.9,Engineer,0.19409533457468395
"HP 15S-EQ1163NS AMD 3020e/8GB/256GB SSD/15.6""",HP,366.0,"Healthcare, Marketing",0.023735793778473596
"Acer Aspire 3 A315-34 Intel Celeron N4020/8GB/256GB SSD/15.6""",Acer,359.01,Marketing,0.02272995444224122
"Dell Vostro 3420 Intel Core i5-1135G7/8 GB/512GB SSD/14""",Dell,743.0,"Entertainment, Engineer",0.07798492536067758
"HP 15S-FQ3008NS Intel Celeron N4500/8GB/256GB SSD/15.6""",HP,323.45,"Entertainment, Marketing",0.01761298065162272
"MSI Prestige 15 A10SC-007ES Intel Core i7-10710U/32GB/1TB SSD/GTX 1650/15.6""",MSI,1999.0,Entertainment,0.2587194327008585
PcCom Revolt 3050 Intel Core i7-13700H/16GB/1TB SSD/RTX 3050/15.6”,PcCom,1449.9,"Artist, Lawyer",0.1797056444998288
"Lenovo ThinkPad E15 Gen 4 Intel Core i7-1255U/16GB/512GB SSD/MX550/15.6""",Lenovo,1405.19,Homemaker,0.17327201406736104
"ASUS F1500EA-EJ2369W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",Asus,849.0,Executive,0.09323799684002407
"ASUS ROG Strix SCAR 17 SE G733CX-LL045W Intel Core i9-12950HX/64GB/1TB+1TB SSD/RTX 3080Ti/17.3""",Asus,4299.01,"Marketing, Homemaker",0.5896837433915348
"MSI Prestige 13 Evo A12M-010ES Intel Core i7-1280P/16GB/512GB SSD/13.3""",MSI,867.53,Engineer,0.09590440641089472
